['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (930, 38), False, False, False, False, False, False]', '(320, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (930, 38), False, False, False, False, False, False]', '(320, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(360, 320), (300, 0), (622, 53), False, False, True, False, False, False]', '(360, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(400, 320), (300, 0), (350, 175), True, False, True, False, False, False]', '(400, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(440, 320), (300, 0), (430, 167), True, False, True, False, False, False]', '(440, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(480, 320), (300, 0), (519, 170), True, False, True, False, False, False]', '(480, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(520, 320), (300, 0), (543, 169), True, False, True, False, False, False]', '(520, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(560, 320), (300, 0), (602, 170), True, False, True, False, False, False]', '(560, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(600, 320), (300, 0), (602, 170), True, False, True, False, False, False]', '(600, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(640, 320), (300, 0), (682, 179), True, False, True, False, False, False]', '(640, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(680, 320), (300, 0), (682, 179), True, False, True, False, False, False]', '(680, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(720, 320), (300, 0), (682, 179), True, False, True, False, False, False]', '(720, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(720, 320), (0, 0), (682, 179), False, False, False, False, False, False]', '(720, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(720, 320), (0, 0), (682, 179), False, False, False, False, False, False]', '(720, 160)']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (914, 61), False, False, False, False, False, False]', '(320, 160)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (914, 61), False, False, False, False, False, False]', '(320, 160)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (726, 83), False, False, False, False, False, False]', '(320, 160)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(360, 320), (300, 0), (726, 83), False, False, True, False, False, False]', '(360, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(360, 360), (0, 300), (726, 83), False, False, True, True, False, True]', '(360, 200)', '(0, 300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(360, 400), (0, 300), (726, 85), False, False, True, True, False, True]', '(360, 240)', '(0, 300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(360, 360), (0, -300), (726, 85), False, False, False, False, True, False]', '(360, 200)', '(0, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(360, 320), (0, -300), (685, 163), False, False, False, False, True, False]', '(360, 160)', '(0, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(400, 320), (300, 0), (685, 163), False, False, True, False, False, False]', '(400, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(440, 360), (300, 300), (685, 163), False, False, True, False, False, True]', '(440, 200)', '(300, 300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(480, 400), (300, 300), (685, 163), False, False, True, False, False, True]', '(480, 240)', '(300, 300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(520, 440), (300, 300), (685, 163), False, False, True, False, False, True]', '(520, 280)', '(300, 300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(520, 480), (0, 300), (685, 163), False, False, False, False, False, True]', '(520, 320)', '(0, 300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(480, 440), (-300, -300), (685, 163), False, False, False, True, True, False]', '(480, 280)', '(-300, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(440, 400), (-300, -300), (685, 163), False, False, False, True, True, False]', '(440, 240)', '(-300, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(400, 360), (-300, -300), (685, 163), False, False, False, True, True, False]', '(400, 200)', '(-300, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(360, 320), (-300, -300), (685, 163), False, False, False, True, True, False]', '(360, 160)', '(-300, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 280), (-300, -300), (685, 163), False, False, False, True, True, False]', '(320, 120)', '(-300, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(280, 240), (-300, -300), (685, 163), False, False, False, True, True, False]', '(280, 80)', '(-300, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(240, 200), (-300, -300), (685, 163), False, False, False, True, True, False]', '(240, 40)', '(-300, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(200, 160), (-300, -300), (685, 163), False, False, False, True, True, False]', '(200, -0.000001)', '(-300, -300)', '0', '0']
